route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color
15620011,6,70B,Pissouri - Avdimou,,3,400040,FFFFFF
15620012,6,70B,Avdimou - Pissouri,,3,400040,FFFFFF
15630011,6,70E,Alektora - Agios Thomas - Platanistia - Avdimou,,3,80FF00,000000
15630012,6,70E,Avdimou - Platanistia - Agios Thomas - Alektora,,3,80FF00,000000
15640011,6,70H,Pissouri - Cyta - Columbia,,3,8080FF,FFFFFF
15640012,6,70H,Columbia - Cyta - Pissouri,,3,8080FF,FFFFFF
15650011,6,70K,Avdimou - Petra tou Romiou,,3,800080,FFFFFF
15650012,6,70K,Petra tou Romiou - Avdimou,,3,800080,FFFFFF
15660011,6,70M,Avdimou - Pachna Health Centre,,3,FF0000,FFFFFF
15660012,6,70M,Pachna Health Centre - Avdimou,,3,FF0000,FFFFFF
15670011,6,80A,Profitis Ilias - Sykopetra - Arakapas,,3,0080C0,FFFFFF
15670012,6,80A,Arakapas - Sykopetra - Profitis Ilias,,3,0080C0,FFFFFF
15680011,6,80B,Akapnou - Eptagoneia,,3,00FFFF,000000
15680012,6,80B,Eptagoneia - Akapnou,,3,00FFFF,000000
15690011,6,80E,Melini - Eptagoneia,,3,808080,FFFFFF
15690012,6,80E,Eptagoneia - Melini,,3,808080,FFFFFF
15700011,6,80H,Prastio - Panagia Glossa - Kellaki,,3,FF8080,000000
15700012,6,80H,Kellaki - Panagia Glossa - Prastio,,3,FF8080,000000
15710011,6,80K,Vikla - Klonari - Kellaki,,3,808080,FFFFFF
15710012,6,80K,Kellaki - Klonari - Vikla,,3,808080,FFFFFF
15720011,6,90B,Pentakomo - Moni,,3,808000,FFFFFF
15720012,6,90B,Moni - Pentakomo,,3,808000,FFFFFF
15740011,6,62AA,Prodromos - Lemythou - Palaiomylos - Foini - Kato Platres,,3,FF8000,000000
15740012,6,62AA,Kato Platres - Foini - Palaiomylos - Lemythou - Prodromos,,3,FF8000,000000
15750011,6,80M,Dierona - Arakapas,,3,000000,FFFFFF
15750012,6,80M,Arakapas - Dierona,,3,000000,FFFFFF
15760011,6,5B,General Hospital - Pylones - Agios Ioannis - Leontiou EMEL Station,,3,008040,FFFFFF
15760012,6,5B,Leontiou EMEL Station - Agios Ioannis - Pylones - General Hospital,,3,008040,FFFFFF
15760021,6,5B,General Hospital - Pylones - Elaion Park - Agios Ioannis - Leontiou EMEL Station,,3,008040,FFFFFF
15760022,6,5B,Leontiou EMEL Station - Agios Ioannis - Pylones - Elaion Park - General Hospital,,3,008040,FFFFFF
15770011,6,60T,Pelendri Circle Line,,3,800080,FFFFFF
15780011,6,23A,Ypsonas Circular Green,,3,808000,FFFFFF
15780021,6,23A,Ypsonas Municipality Circular Green,,3,808000,FFFFFF
15790011,6,16A,Episkopi - Episkopiana Hotel - Leontiou EMEL Station,,3,808040,000000
15790012,6,16A,Leontiou EMEL Station - Episkopiana Hotel - Episkopi,,3,808040,000000
15800011,6,70N,Pissouri - Pissouri Police Station,,3,000000,FFFFFF
15800012,6,70N,Pissouri Police Station - Pissouri,,3,000000,FFFFFF
